url,title,price,city and zip code,neighbourhood,nb_rooms,nb_bedrooms,surface,numero_etage,description,Extérieur,Cadre et situation,Surfaces annexes,Services et accessibilité,Cuisine,Hygiène,Pièces à vivre,Diagnostic de performance énergétique (DPE),Indice d'émission de gaz à effet de serre (GES),loyer_base,charges_forfaitaires,complement_loyer,depot_garantie,loyer_charges_comprises,0
"https://www.seloger.com/annonces/locations/appartement/paris-1er-75/les-halles/183407955.htm?projects=1&types=2,1&places=[{%22inseeCodes%22:[750101]}]&sort=d_dt_crea&mandatorycommodities=0&privateseller=1&enterprise=0&qsVersion=1.0&m=search_to_detail&lv=S",Appartement meublé à louer,1 500 €,Paris (75001),Quartier Les Halles,2 pièces,1 chambre,42 m²,,"Appartement deux pièces entièrement rénové dans le premier arrondissement de Paris, 25 m des Halles.

Demander plus d'informations au propriétaire",,,,Pas d'ascenseur,,,,,,,,,,1 500 € / mois,
"https://www.seloger.com/annonces/locations/appartement/paris-1er-75/palais-royal/197368991.htm?projects=1&types=2,1&places=[{%22inseeCodes%22:[750101]}]&sort=d_dt_crea&mandatorycommodities=0&privateseller=1&enterprise=0&qsVersion=1.0&m=search_to_detail&lv=S",Appartement à louer,4 500 €,Paris (75001),Quartier Palais Royal,3 pièces,2 chambres,100 m²,Étage 18/–,"LOCATION VIDE - CONTRAT CODE CIVIL - BAIL SOCIÉTÉ OU RÉSIDENCE SECONDAIRE. 
Rue Saint Honoré, à deux pas de la Place Vendôme, dans un bel immeuble 18ème avec ascenseur et gardien, appartement en duplex au 5ème étage fraîchement repeint et radiateurs changés. Il est distribué d'une entrée desservant un salon (photo non contractuelle), une chambre principale avec dressing et salle de bains, une seconde chambre. A l'étage, une grande cuisine dinatoireDemander plus d'informations au propriétaire","Balcon, Terrasse",,,"Ascenseur, Gardien, Digicode",,Salle de bain (baignoire),Entrée séparée,,,,,,,4 500 € / mois,
"https://www.seloger.com/annonces/locations/appartement/paris-1er-75/vendome/216689165.htm?projects=1&types=2,1&places=[{%22inseeCodes%22:[750101]}]&sort=d_dt_crea&mandatorycommodities=0&privateseller=1&enterprise=0&qsVersion=1.0&m=search_to_detail&lv=S",Studio meublé à louer,10 150 €,Paris (75001),Quartier Vendôme,1 pièce,,12 m²,Étage 0/–,"Petit studio rénové très calme sur cour , plein centre  (tuilerie concorde )à louer pendant les  jeux olympiques ,cuisine équipée , lit escamotable.
 grand confort , salle de douche Wc, télévision , parking possible dans la cour Demander plus d'informations au propriétaire",,Calme,"Box, Parking",Pas d'ascenseur,Cuisine américaine,Salle d'eau (douche),,,,,,,,10 150 € / mois,
"https://www.seloger.com/annonces/locations/appartement/paris-1er-75/les-halles/214836571.htm?projects=1&types=2,1&places=[{%22inseeCodes%22:[750101]}]&sort=d_dt_crea&mandatorycommodities=0&privateseller=1&enterprise=0&qsVersion=1.0&m=search_to_detail&lv=S",Appartement à louer,5 002 €,Paris (75001),Quartier Les Halles,4 pièces,,108 m²,,"Location d'un bureau de 108m² au coeur de Paris, situé entre le Ministère de la Culture et la Bourse de Commerce. 
Ce bureau comprend 1 grande entrée, 1 cuisine, 4 salles de travail, 1 local débarras, 1 grande cave, des toilettes et 1 balcon. 

Métros à proximité: Châtelet-les-Halles, Louvre-Rivoli (M1 et M7) et Pyramides (M14).

Conditions de Bail: 3 mois de caution et 6 mois de GAPD. 

 Demander plus d'informations au propriétaire",Balcon,,Cave,Pas d'ascenseur,,,Entrée séparée,D,D,,,,,5 002 € / mois,
"https://www.seloger.com/annonces/locations/appartement/paris-1er-75/palais-royal/185846821.htm?projects=1&types=2,1&places=[{%22inseeCodes%22:[750101]}]&sort=d_dt_crea&mandatorycommodities=0&privateseller=1&enterprise=0&qsVersion=1.0&m=search_to_detail&lv=S",Duplex à louer,989 €,Paris (75001),Quartier Palais Royal,2 pièces,1 chambre,30 m²,Étage 0/–,"Immeuble de 1800 avec une très jolie cour pavée, idéalement situé dans un secteur animé
Nous vous proposons un appartement 2 pièces au calme donnant sur cour, en duplex comprenant:
Au rez-de-chaussée: une chambre avec placard et salle d’eau
Au 1er étage: un séjour, une cuisine, toilettes.
Libre de suite. Chauffage et eau chaude électriques.Demander plus d'informations au propriétaire",,Calme,,Ascenseur,,"Toilettes, Toilettes séparées","Séjour / salon, Placards / rangements",,,,,,,989 € / mois,
"https://www.seloger.com/annonces/locations/appartement/paris-10eme-75/faubourg-du-temple-hopital-saint-louis/216571751.htm?projects=1&types=2,1&places=[{%22inseeCodes%22:[750110]}]&sort=d_dt_crea&mandatorycommodities=0&privateseller=1&enterprise=0&qsVersion=1.0&m=search_to_detail&lv=S",Appartement meublé à louer,1 270 €,Paris (75010),Quartier Faubourg du Temple-Hôpital Saint Louis,2 pièces,1 chambre,33 m²,Étage 0/–,"Logement en plein cœur de paris, proche canal Saint Martin, zone piétonne. Desservi par deux métros (Goncourt et Colonel Fabien) ainsi que plusieurs bus. Tout commerce à proximité.
Appartement avec salon ouvert sur cuisine équipée + 1 chambre avec lit deux places. Salle d’eau séparée. Mezzanine possibilité coin bureau.
RDC avec entrée individuelle m, immeuble bourgeois sécurisé avec digicode.
Etudiants bienvenus. Colocation possible.Demander plus d'informations au propriétaire",,,,"Ascenseur, Digicode",Cuisine américaine,Salle d'eau (douche),Entrée séparée,,,,,,,1 270 € / mois,
"https://www.seloger.com/annonces/locations/appartement/paris-10eme-75/louis-blanc-aqueduc/216919733.htm?projects=1&types=2,1&places=[{%22inseeCodes%22:[750110]}]&sort=d_dt_crea&mandatorycommodities=0&privateseller=1&enterprise=0&qsVersion=1.0&m=search_to_detail&lv=S",Studio meublé à louer,890 €,Paris (75010),Quartier Louis Blanc-Aqueduc,1 pièce,,13 m²,Étage 3/–,"Je loue ce charmant studio meublé refait à neuf de 13m² situé dans le 10e arrondissement à Paris à 50m du métro Louis Blanc.

DESCRIPTIF
- 1 pièce avec salle de bain séparée
- 3ème étage sans ascenseur
- Très calme, donne sur cour

Idéal pour un étudiant ou jeune actif.

Disponibilité : à partir du 18 mars

EQUIPEMENTS
- Coin nuit : Lit banquette et rangements
Fenêtres double vitrage
- Cuisine toute équipée : coin cuisine avec plaque vitrocéramique, réfrigérateur, micro-onde,
- Salle d’eau : douche, WC, lave linge, chauffe-serviette

LOYER ET CHARGES
- Loyer charges comprises : 890 euros / mois, dont provision de charges : 50 euros / mois
- Dépôt de garantie : 890 euros
- Chauffage Individuel électrique

A PROXIMITÉ DU BIEN
- Métro : station Louis Blanc (ligne 7 et 7b) à moins d’une minute à pied
- Métro : station Stalingrad (ligne 2, 5 et 7) à environ 7 minutes à pied
- Gare : Gare de l’Est à environ 7 minutes à pied
- Universités : ISTEC à moins de 10 minutes à pied
- Monuments : Canal St Martin à environ 15 minutes à pied

Demander plus d'informations au propriétaire",,Calme,,Pas d'ascenseur,Cuisine américaine,Salle d'eau (douche),Placards / rangements,,,,,,,890 € / mois,
"https://www.seloger.com/annonces/locations/appartement/paris-10eme-75/porte-saint-denis-paradis/213157035.htm?projects=1&types=2,1&places=[{%22inseeCodes%22:[750110]}]&sort=d_dt_crea&mandatorycommodities=0&privateseller=1&enterprise=0&qsVersion=1.0&m=search_to_detail&lv=S",Appartement meublé à louer,3 850 €,Paris (75010),Quartier Porte Saint Denis-Paradis,4 pièces,2 chambres,84 m²,,"Duplex meublé de 84m2 pour une location de 4 mois à partir de début janvier en bail résidence secondaire ou bail mobilité, composé de 4 pièces principales: 
- 1 grand salon style loft: grand canapé en cuir, table basse, bibliothèques.
- 1 grande cuisine/salle à manger entièrement équipée: réfrigérateur, congélateur, plaques induction, four à tiroir, lave-vaisselle, plan de travail en îlot central pratique et convivial, grande table à manger, chaises et banquette, nespresso, ustensiles. 
- 1 grande chambre: au calme sur cour bénéficiant d'une charmante petite terrasse, équipée d'un lit double et d'une grande armoire.
- 1 petite chambre: au calme sur cour bénéficiant d'un petit balcon, d'un canapé-lit et d'étagères. 
- 1 salle de bain: avec baignoire, rangements et grand miroir mural.
- 1 WC séparé.
- 1 buanderie équipée: lave-linge, aspirateur, fer à repasser. 
Chauffage centrale, électricité et internet fibre inclus. Linge de maison, oreillers, couettes et serviettes de toilette fournis. Stores électriques.
Emplacement idéal à quelques mètres du métro Bonne Nouvelle et proche Strasbourg St Denis, dans le quartier des Grands Boulevards et à deux pas du Sentier et du quartier de Montorgueil, très nombreux commerces et restaurants.
En option place de parking dans l'immeuble à louer (non compris dans le prix).
Pas de colocation possible.Demander plus d'informations au propriétaire","Balcon, Terrasse",,,Ascenseur,,,,D,E,,,,,3 850 € / mois,
"https://www.seloger.com/annonces/locations/appartement/paris-10eme-75/chateau-d-eau-lancry/207195807.htm?projects=1&types=2,1&places=[{%22inseeCodes%22:[750110]}]&sort=d_dt_crea&mandatorycommodities=0&privateseller=1&enterprise=0&qsVersion=1.0&m=search_to_detail&lv=S",Appartement meublé à louer,1 779 €,Paris (75010),Quartier Chateau d'Eau-Lancry,2 pièces,1 chambre,45 m²,,"Appartement entièrement rénové sur plans d’architecte, avec un intérieur clair et moderne dans une rue calme. 
Le quartier du village Saint Martin  est très recherché du fait de ses nombreux commerces, cafés et espaces de co-working. Il est idéalement situé à 10mn du centre Pompidou, 5mn de République, 15mn de la Gare du Nord et bien relié grâce à de nombreuses lignes de métro.
Idéal pour un étudiant, possibilité de bail étudiant ou bail mobilité idéalement entre septembre et juin.
Demander plus d'informations au propriétaire",,Calme,,Ascenseur,,,,E,D,,,,,1 779 € / mois,
"https://www.seloger.com/annonces/locations/appartement/paris-10eme-75/louis-blanc-aqueduc/217379609.htm?projects=1&types=2,1&places=[{%22inseeCodes%22:[750110]}]&sort=d_dt_crea&mandatorycommodities=0&privateseller=1&enterprise=0&qsVersion=1.0&m=search_to_detail&lv=S",Studio à louer,1 230 €,Paris (75010),Quartier Louis Blanc-Aqueduc,1 pièce,,38 m²,Étage 1/5,"Metro Louis Blanc entre Gare de l’est et Gare du Nord, appartement 2 pièces de 38m2 sur cour sans vis à vis donnant sur une cour au calme.
Situé au 1er étage il dispose d’une pièce à vivre avec cuisine ouverte équipée d’une plaque de cuisson et d’un four.
Une chambre indépendante dispose d’un grand dressing.
Disponible immédiatement.
Possibilité de visite les 23 et 24 Mars.
Agence s’abstenir.
Afin de se positionner le dossier devra être complet avec les éléments suivants :
- pièces d’identité 
- fiches de paie des 3 derniers mois
- caution (identité + ressources)
- attestation de loyer de l'ancien propriétaire ou les quittances.Demander plus d'informations au propriétaire",,"Sans vis-à-vis, Calme",Cave,Pas d'ascenseur,Cuisine américaine,Salle de bain (baignoire),,D,B,,,,,1 230 € / mois,
"https://www.seloger.com/annonces/locations/appartement/paris-10eme-75/porte-saint-denis-paradis/201952187.htm?projects=1&types=2,1&places=[{%22inseeCodes%22:[750110]}]&sort=d_dt_crea&mandatorycommodities=0&privateseller=1&enterprise=0&qsVersion=1.0&m=search_to_detail&lv=S",Studio à louer,870 €,Paris (75010),Quartier Porte Saint Denis-Paradis,1 pièce,,31 m²,Étage 2/–,"Rue des petites écuries, au 2ème étage avec ascenseur, un studio de 31.44m² comprenant: entrée avec placard, séjour avec kitchenette aménagée (rangements + plaques de cuisson), salle de bains avec WC. Une cave complète le bien. Eau chaude collective compris dans les charges, chauffage électrique individuel.Demander plus d'informations au propriétaire",,,Cave,Ascenseur,Coin cuisine,Salle de bain (baignoire),"Séjour / salon, Entrée séparée, Placards / rangements",,,,,,,870 € / mois,
"https://www.seloger.com/annonces/locations/appartement/paris-10eme-75/saint-vincent-de-paul-lariboisiere/190365009.htm?projects=1&types=2,1&places=[{%22inseeCodes%22:[750110]}]&sort=d_dt_crea&mandatorycommodities=0&privateseller=1&enterprise=0&qsVersion=1.0&m=search_to_detail&lv=S",Studio meublé à louer,800 €,Paris (75010),Quartier Saint Vincent de Paul-Lariboisière,1 pièce,,17 m²,Étage 3/–,"Studio situé entre Gare de l’Est et Gare du Nord, 3eme étage avec ascenseur. Quartier animé avec plusieurs commerces à proximité. 
Entièrement rénové il y a 1 an, cuisine équipée de plaques et micro-onde. Plusieurs rangements disponibles. Éligible aux APL. Demander plus d'informations au propriétaire",,,,Ascenseur,Cuisine équipée,,Placards / rangements,,,,,,,800 € / mois,
"https://www.seloger.com/annonces/locations/appartement/paris-10eme-75/porte-saint-denis-paradis/200361893.htm?projects=1&types=2,1&places=[{%22inseeCodes%22:[750110]}]&sort=d_dt_crea&mandatorycommodities=0&privateseller=1&enterprise=0&qsVersion=1.0&m=search_to_detail&lv=S",Studio meublé à louer,615 €,Paris (75010),Quartier Porte Saint Denis-Paradis,1 pièce,,16 m²,,"PARIS 10E. Au numéro 10 de la rue de la Fidélité au coeur du 10ème arrondissement. Situé dans un bel immeuble de standing entièrement ravalé extérieur et intérieur. Studio de 15,56m² loi Carrez composé d'une pièce principale (lit-mezzanine, canapé, table, chaise, placard, étagères..) avec cuisine U.S équipée (plaques, frigo, micro-onde, machine à laver, vaisselles et rangements), salle d'eau avec W.C. Calme. Sur cour. Refait entièrement à neuf en 2020. Digicode et interphone. Transports et commerces. 
Loyer mensuel charges comprises.Demander plus d'informations au propriétaire",,Calme,,"Ascenseur, Digicode, Interphone",,Salle d'eau (douche),Placards / rangements,,,,,,,615 € / mois,
"https://www.seloger.com/annonces/locations/appartement/paris-10eme-75/porte-saint-denis-paradis/216038339.htm?projects=1&types=2,1&places=[{%22inseeCodes%22:[750110]}]&sort=d_dt_crea&mandatorycommodities=0&privateseller=1&enterprise=0&qsVersion=1.0&m=search_to_detail&lv=S",Studio meublé à louer,1 004 €,Paris (75010),Quartier Porte Saint Denis-Paradis,1 pièce,,23 m²,Étage 0/–,"un studio, très lumineux, ensoleillé, calme, bon état général, il se compose d'une entrée, d'une pièce principale sur balcon, baies vitrées, d'un coin cuisine aménagée, d'une salle de bains avec wc. Chauffage et eau chaude collectifs compris dans les charges.
Demander plus d'informations au propriétaire",,Calme,,Pas d'ascenseur,Cuisine américaine,"Salle de bain (baignoire), Salle d'eau (douche)",Entrée séparée,D,B,,,,,1 004 € / mois,
"https://www.seloger.com/annonces/locations/appartement/paris-10eme-75/porte-saint-denis-paradis/213087729.htm?projects=1&types=2,1&places=[{%22inseeCodes%22:[750110]}]&sort=d_dt_crea&mandatorycommodities=0&privateseller=1&enterprise=0&qsVersion=1.0&m=search_to_detail&lv=S",Studio meublé à louer,848 €,Paris (75010),Quartier Porte Saint Denis-Paradis,1 pièce,,21 m²,Étage 6/–,"Studio meublé 21m² haut de gamme* Paris 10 quartier très apprécié à côté du marché couvert Saint Quentin, de nombreux commerces. Situé dans une copropriété rénovée en 2019, entièrement meublé, salle d'eau avec wc, cuisine us entièrement équipée, four micro-ondes, frigo, plaque vitrocéramique, vaisselle complète, canapé clic-clac convertible, table basse, écran Led, lit mezzanine 140x200 deux places, grande armoire, table et fer à repasser, aspirateur sans sac, machine à café, bouilloire, etc..
Linge de maison neuf fourni, chaises, nombreux rangements, porte blindées 7 points, belle copropriété.
Studio au 6eme étage sans ascenseur.
Demander plus d'informations au propriétaire",,,,Pas d'ascenseur,Cuisine américaine,Salle d'eau (douche),Placards / rangements,,,,,,,848 € / mois,
"https://www.seloger.com/annonces/locations/appartement/paris-18eme-75/clignancourt-jules-joffrin/197056213.htm?projects=1&types=2,1&places=[{%22inseeCodes%22:[750110]}]&sort=d_dt_crea&mandatorycommodities=0&privateseller=1&enterprise=0&qsVersion=1.0&m=search_to_detail_boost_extend&lv=L",Appartement meublé à louer,2 900 €,Paris (75018),Quartier Clignancourt-Jules Joffrin,3 pièces,2 chambres,62 m²,Étage 3/6,"(PAR431)

*Les prix indiqués sont : (1) basés sur une date d’entrée dans les lieux le premier jour où l’appartement est disponible à la location ; (2) applicables seulement si le montant de la location est payé intégralement à l’entrée dans les lieux, tout en étant susceptible d’être plus cher en cas de paiement mensuel ; (3) n’incluent pas les charges et taxes. Pour le montant exact de votre location, nous vous laissons le soin de vous rendre sur notre site ou de nous contacter directement.

Démarrez votre nouvelle vie à Paris avec ce 3 pièces spacieux proposé par Blueground. Vous vous sentirez comme chez vous dans cet appartement meublé haut de gamme, entièrement équipé et aménagé, situé Montmartre.
Avec Blueground, bénéficiez d’un service client 24/24 et 7/7 pour vous assister!
NB : Nos appartements sont proposés en résidences secondaires ou baux sociétés et pour un an maximum.

Un appartement conçu spécialement pour vous

Des meubles tendances, une cuisine entièrement équipée, une TV connectée et des enceintes Marshall Wifi : voici quelques-uns des équipements que vous trouverez dans ce 3 pièces. Chaque chambre Blueground est équipée de matelas de qualité supérieure, et de linge de maison haut de gamme. Nous nous occupons de tout pour que vous puissiez démarrer votre nouvelle vie parisienne clef en main !

Équipements

Les équipements de l’immeuble propres à ce 3 pièces sont:

Ascenseur
Machine à laver
Assistance à l’arrivée et au quotidien

Tout l’appartement est à vous ! Vous serez accueilli par un membre de l’équipe de Blueground ou nous vous donnerons des instructions pour entrer dans les lieux par vous-même.

Tout au long de votre séjour, vous pourrez contacter notre service client via l’application Blueground. Vous pouvez commander des prestations de ménage supplémentaires, soumettre des demandes de maintenance et en savoir plus sur votre nouveau chez-vous en quelques clics.

Nous vous communiquerons toutes les informations nécessaires lors de la confirmation de votre séjour.

À noter également

Cet appartement Blueground peut être réservé pour une durée de d’un mois et jusqu’à un an.Demander plus d'informations à l'agence",,,,Ascenseur,Cuisine équipée,"Salle d'eau (douche), Toilettes","Séjour / salon, Salle à manger, Entrée séparée",,,,,,,2 900 € / mois,
"https://www.seloger.com/annonces/locations/appartement/paris-10eme-75/chateau-d-eau-lancry/216840369.htm?projects=1&types=2,1&places=[{%22inseeCodes%22:[750110]}]&sort=d_dt_crea&mandatorycommodities=0&privateseller=1&enterprise=0&qsVersion=1.0&m=search_to_detail&lv=S",Appartement meublé à louer,1 600 €,Paris (75010),Quartier Chateau d'Eau-Lancry,2 pièces,1 chambre,45 m²,Étage 5/–,"Un appartement très ensoleille de 45 m2 rue de Marseille a l'angle du quai Valmy.
Avec un salon, cuisine ouverte avec bar et toute équipée, chambre et salle de douche.

Équipe de: 
canapé, table pour dîner, table basse, réfrigérateur, plaque de cuisson, four, machine à laver, lave vaisselle et micro-onde.

5eme étage sans ascenseur coté cours.

Disponible immédiatement 

Dossier complet demande:
- Avis d'imposition
- 3 dernières fiches de paies
- 3 dernières quittance de loyer 
- Garant solide: avis d'imposition, 3 fiches de paies

Demander plus d'informations au propriétaire",,,,Ascenseur,Cuisine américaine,Salle d'eau (douche),,,,,,,,1 600 € / mois,
"https://www.seloger.com/annonces/locations/appartement/paris-10eme-75/faubourg-du-temple-hopital-saint-louis/190230425.htm?projects=1&types=2,1&places=[{%22inseeCodes%22:[750110]}]&sort=d_dt_crea&mandatorycommodities=0&privateseller=1&enterprise=0&qsVersion=1.0&m=search_to_detail&lv=S",Appartement meublé à louer,1 680 €,Paris (75010),Quartier Faubourg du Temple-Hôpital Saint Louis,2 pièces,1 chambre,45 m²,Étage 1/–,"Superbe appartement meublé et équipé refait à neuf.  

Idéalement situé au coeur du 10ème : à 30 mètres du Canal Saint-Martin, à proximité de République, dans le ""triangle d'or du 10ème"" - à proximité de commerces, restaurants et lieux de vie.  
1er étage sur cour - très calme  
Grand séjour avec cuisine ouverte de 28 m2
 - chambre spacieuse de 11m2 
- salle d'eau avec douche italienne très bien agencée et confortable  

Disponible à partir du 2 Septembre : opportunité à saisir très rapidement  
Visites Mardi 30 Août et Mercredi 31 Août.  

Revenus au minimum  de 3 fois le montant du loyer.
Agence s'abstenir.Demander plus d'informations au propriétaire",,Calme,,Pas d'ascenseur,,Salle d'eau (douche),Séjour / salon,,,,,,,1 680 € / mois,
"https://www.seloger.com/annonces/locations/appartement/paris-10eme-75/porte-saint-denis-paradis/216229349.htm?projects=1&types=2,1&places=[{%22inseeCodes%22:[750110]}]&sort=d_dt_crea&mandatorycommodities=0&privateseller=1&enterprise=0&qsVersion=1.0&m=search_to_detail&lv=S",Appartement meublé à louer,2 090 €,Paris (75010),Quartier Porte Saint Denis-Paradis,2 pièces,1 chambre,46 m²,Étage 0/0,"Cour des Petites écuries.

Chambre sur cour.
Dernier étage, aucun voisin bruyant.
TRES lumineux et traversant.
Cuisine ouverte sur salon avec evac fumée.
Douche sympatique.
Amplificateur de son, bluetooth, enceintes.

46m2
Dernier étage sans ascenseurDemander plus d'informations au propriétaire",,,Cave,Ascenseur,Cuisine américaine,Salle d'eau (douche),,D,D,,,,,2 090 € / mois,
"https://www.seloger.com/annonces/locations/appartement/paris-11eme-75/leon-blum-folie-regnault/217331129.htm?projects=1&types=2,1&places=[{%22inseeCodes%22:[750110]}]&sort=d_dt_crea&mandatorycommodities=0&privateseller=1&enterprise=0&qsVersion=1.0&m=search_to_detail_boost_extend&lv=L",Studio à louer,620 €,Paris (75011),Quartier Léon-Blum Folie-Regnault,1 pièce,,17 m²,Étage 0/6,"CHARONNE // Au calme sur cour, Appartement T1 de 16,62 m2 situé au rez-de-chaussée d'un immeuble sécurisé de 1860. Il comprend : entrée avec coin cuisine aménagée et équipée (plaques électriques et réfrigérateur), pièce principale avec rangement, salle d'eau avec WC. Chauffage et eau chaude : individuel électrique. Loyer CC : 620,04 €/mois. Dépôt de garantie : 580,04€. Honoraires agence charge locataire : 249,30€ ttc (dont 49,86€ ttc pour la réalisation de l'état des lieux d'entrée)Demander plus d'informations à l'agence",,Calme,,"Pas d'ascenseur, Digicode",Coin cuisine équipé,"Salle d'eau (douche), Toilettes","Entrée séparée, Placards / rangements, Parquet",E,C,,,,,620 € / mois,
"https://www.seloger.com/annonces/locations/appartement/paris-10eme-75/louis-blanc-aqueduc/217108205.htm?projects=1&types=2,1&places=[{%22inseeCodes%22:[750110]}]&sort=d_dt_crea&mandatorycommodities=0&privateseller=1&enterprise=0&qsVersion=1.0&m=search_to_detail&lv=S",Appartement meublé à louer,2 150 €,Paris (75010),Quartier Louis Blanc-Aqueduc,2 pièces,1 chambre,65 m²,Étage 2/6,"Appartement Haussmannien Paris 10ème rue Cail, lumineux, sans vis à vis (G2O en face), 2è étage, ascenseur. Entrée principale et intérieure, sécurisées. 65m2, 1 double salon-salle à manger, 1 chambre, 1 cuisine indépendante équipée, salle d'eau, wc séparé, grand dressing et placards. Parquet, cheminée (décorative), balcon, appart tout équipé : canapé-lit cuir blanc + fauteuil-lit cuir blanc, table basse, table réception verre de qlté, chaises cuir et plexi et cuir, lit 2 places, meubles de rangement, bibliothèque, lampes, tableaux modernes. Cuisine tout équipée : vitro, meubles de cuisine, machine à laver, réfrigérateur, micro-onde, vaisselle complète. Meubles sur balcon.  Demander plus d'informations au propriétaire",Balcon 8 m²,Sans vis-à-vis,Cave,Ascenseur,Cuisine américaine,Salle d'eau (douche),"Salle à manger, Entrée séparée, Cheminée, Placards / rangements, Parquet",,,,,,,2 150 € / mois,
"https://www.seloger.com/annonces/locations/appartement/paris-10eme-75/louis-blanc-aqueduc/214266169.htm?projects=1&types=2,1&places=[{%22inseeCodes%22:[750110]}]&sort=d_dt_crea&mandatorycommodities=0&privateseller=1&enterprise=0&qsVersion=1.0&m=search_to_detail&lv=S",Appartement meublé à louer,2 200 €,Paris (75010),Quartier Louis Blanc-Aqueduc,2 pièces,1 chambre,60 m²,Étage –/6,"Paris 10ème - Rue Perdonnet, idéalement situé entre Gare de l'Est et Gare du Nord.

Dans une copropriété calme, une gardienne permanente assure le bon fonctionnement de l'immeuble. Il est situé au 3/6 étage, exposé sud avec une entrée de lumière directement dans le salon et la chambre. Rénové en 2021, cet appartement comporte une belle hauteur sous plafond et le charme haussmannien. Les différentes pièces de cet appartement :
  - une entrée séparée avec rangement à chaussures.
  - une grande pièce à vivre (32m2) avec une bibliothèque, de multiples rangements et un canapé.
  - une chambre avec un espace de travail, un lit King Size (180x200), une grande penderie et de multiples rangements.
  - une cuisine aménagée et équipée d'un four, de plaques de cuisson, d'un lave-vaisselle, d'un réfrigérateur, d'un congélateur et d'un lave-linge
  - une salle de bain avec baignoire
  - WC séparé

Chauffage au gaz. DPE réalisé le 16/12/2020 étiqueté C, la consommation annuelle est estimée à 673 euros par an.
Demander plus d'informations au propriétaire",,Calme,,"Ascenseur, Gardien",,Salle de bain (baignoire),"Entrée séparée, Placards / rangements",C,D,,,,,2 200 € / mois,
"https://www.seloger.com/annonces/locations/appartement/paris-10eme-75/louis-blanc-aqueduc/217183493.htm?projects=1&types=2,1&places=[{%22inseeCodes%22:[750110]}]&sort=d_dt_crea&mandatorycommodities=0&privateseller=1&enterprise=0&qsVersion=1.0&m=search_to_detail&lv=S",Appartement meublé à louer,1 835 €,Paris (75010),Quartier Louis Blanc-Aqueduc,2 pièces,1 chambre,57 m²,Étage 4/5,"Spacieux appartement 2/3 pièces 57m² habitable, traversant, double exposition, HSP 2,70m. Entièrement refait à neuf en 2007, charme de l’ancien (parquet, moulures, cheminée), fenêtres doubles vitrage.
Situé au 4e étage sur 5 avec ascenseur d’un immeuble en pierre de paris.

Lumineux et bien agencé, il est constitué d'un grand double séjour/cuisine ouverte (28 m2), plein sud, vue dégagée avec 2 grandes fenêtres.
Une grande chambre de 14m2 au calme côté cour, exposée à l’est, avec vaste dressing intégré. 
Grande salle de douche avec meuble vasque, WC indépendant avec fenêtre, buanderie avec fenêtre.
Une cave en terre battue de 6 m2 complète ce bien.

Situé dans une rue calme à deux pas de la gare du Nord et à quelques minutes à pied de la gare de l'Est.
Proche des commerces et restaurants (Louis Blanc à 5min et Marché couvert Saint Quentin à 8 min à pied).
A proximité immédiate des métros (4,5,7,2) et RER B, D, E (desserte directe de La Défense en 2023) ainsi que des transiliens H et K et de la gare internationale (Thalys, Eurostar).

Informations complémentaires :
-	Chauffage central collectif, eau chaude/froide individuelle.
-	Local à vélos/poussettes.
-	Immeuble sécurisé par digicode + interphone
-	Copropriété bien entretenue, ravalement réalisé en 2005, nombreux travaux de rénovation effectués depuis 10 ans.Demander plus d'informations au propriétaire",,"Calme, Belle vue",Cave,"Ascenseur, Digicode, Interphone",Cuisine américaine,Salle d'eau (douche),"Séjour / salon, Cheminée, Parquet",E,E,,,,,1 835 € / mois,
"https://www.seloger.com/annonces/locations/appartement/paris-10eme-75/porte-saint-denis-paradis/208381843.htm?projects=1&types=2,1&places=[{%22inseeCodes%22:[750110]}]&sort=d_dt_crea&mandatorycommodities=0&privateseller=1&enterprise=0&qsVersion=1.0&m=search_to_detail&lv=S",Studio meublé à louer,1 180 €,Paris (75010),Quartier Porte Saint Denis-Paradis,1 pièce,,27 m²,,"Magnifique local commercial
Lumineux et très bien agencé. Comprenant une grande pièce à vivre de 25m2. 
Une salle de bain et une cuisine. 
Possibilité de louer le studio en salle de sport (déjà équipé) ou de le basculer en bureau. 
Libre de suite. 
N’hésitez pas à me demander d’autres photos. 

Loyer 1100+80 de charges. 
Loyer mensuel 1180Demander plus d'informations au propriétaire",,,,Pas d'ascenseur,,Salle de bain (baignoire),,,,,,,,1 180 € / mois,
